SourcedStatement,SourceType,Name,Title,Justification
The Alameda County Registrar is scheduled to send the final ballot for printing on Friday.,Named Organization Sources,The Alameda County Registrar,,The Alameda County Registrar is scheduled to send the final ballot for printing on Friday
"Update at 4:32 p.m.: According to a post by Love on Instagram earlier this hour, the judge did not rule in Love’s favor.",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,According to a post by Love on Instagram earlier this hour
"“While we are disappointed by the court’s decision not to place us on the ballot in November, I remain undeterred in my commitment to serving Oakland and our communities,” she wrote. “My dedication to our city does not begin nor end with a campaign. There are many ways to effect change and ensure our voices are heard. I will continue to work alongside each of you, advocating for public health, safety, and equitable development in Oakland.”",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,she wrote
"Tonya Love, former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife, failed to qualify for the council race earlier this month because she hadn’t gathered enough signatures.",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife
"Love’s lawyers, from the political law firm Kaufman Legal Group, said in their petition that Love had gathered 67 signatures in total and that three of the signatures were unfairly disqualified.",Named Person Sources,Love’s lawyers,lawyers from the political law firm Kaufman Legal Group,from the political law firm Kaufman Legal Group
"“These technical errors should not prevent the intent of the voters from being realized and the signatures counted towards verification,” the lawyers stated in their brief.",Named Person Sources,Love’s lawyers,lawyers from the political law firm Kaufman Legal Group,the lawyers stated in their brief
The county attorneys countered in a brief that the state election code deems signatures on a nomination form invalid if they don’t include a signature and a printed name and if the address of the candidate’s supporter is not consistent with their voter registration form.,Named Person Sources,The county attorneys,county attorneys,countered in a brief
"After hearing both sides this morning in county court, Alameda County Superior Court Judge Michael Markman said he would issue his ruling by 3 p.m. today.",Named Person Sources,Judge Michael Markman,Alameda County Superior Court Judge,After hearing both sides this morning in county court
"“My understanding is that there are other candidates for this particular district city council who would’ve liked the opportunity to have more time to gather and submit signatures, and the process needs to be uniform,” he said. “In its implementation, it looks like the ROV attempted to do that here.”",Named Person Sources,Judge Michael Markman,Alameda County Superior Court Judge,he said
The judge also noted that he was wary of approving the request lest it turn the courts into “a clearing house for attempting to verify signatures.”,Named Person Sources,Judge Michael Markman,Alameda County Superior Court Judge,The judge also noted
"“There are only three in this one,” he said, “but I can imagine scenarios where it could be 23 in future cases.”",Named Person Sources,Judge Michael Markman,Alameda County Superior Court Judge,he said
"The lawyer representing Love said that the judge could limit his ruling to the type of unusual last-minute circumstance this represents, in which a candidate had only a couple of days to gather signatures.",Named Person Sources,The lawyer representing Love,lawyer,The lawyer representing Love said
"If the signatures are validated, Love will become a candidate in a five-person race for a seat that opened up only because of a last-minute decision by sitting Councilmember Treva Reid not to run for reelection, citing the increasing health care needs of her mother.",Named Person Sources,Treva Reid,sitting Councilmember,"a last-minute decision by sitting Councilmember Treva Reid not to run for reelection, citing the increasing health care needs of her mother"
"After Reid dropped out, Love, who had already qualified for the at-large councilmember race against 10 other candidates, decided to switch her candidacy to District 7, where she lives and where her political connections might give her a better path to victory.",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,"After Reid dropped out, Love, who had already qualified for the at-large councilmember race against 10 other candidates"
"Her lawyers also argued that the district has a low number of registered voters, making it harder for her to secure as many signatures.",Named Person Sources,Her lawyers,lawyers from the political law firm Kaufman Legal Group,Her lawyers also argued
"A few other candidates in the last-minute scramble were able to gather enough signatures to qualify for the ballot, among them Ken Houston.",Named Person Sources,Ken Houston,candidate,A few other candidates in the last-minute scramble were able to gather enough signatures to qualify for the ballot
"One person who tried but failed to gather enough signatures to run for the district seat was David Newton, a nephew of Black Panther Party founder Huey Newton.",Named Person Sources,David Newton,nephew of Black Panther Party founder Huey Newton,One person who tried but failed to gather enough signatures to run for the district seat
"In an interview with The Oaklandside last week, Newton was resigned to his failure to gather enough signatures–he picked up 37–but said he would work with whoever came out ahead in the race to help improve the community.",Named Person Sources,David Newton,nephew of Black Panther Party founder Huey Newton,In an interview with The Oaklandside last week
"While on Fife’s staff, Love worked on the city’s COVID-19 budgeting and most recently helped shepherd Fife’s work with local community advocates on developing a legal tactical urbanism community pilot.",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,"While on Fife’s staff, Love worked on the city’s COVID-19 budgeting and most recently helped shepherd Fife’s work with local community advocates on developing a legal tactical urbanism community pilot"
"After Love’s lawyers submitted their petition on Aug. 20, the Alameda Court originally set a conference for September 24, but lawyers for the county asked for the hearing to be moved up to today, to ensure there was enough time to create the ballots.",Named Person Sources,lawyers for the county,lawyers,"lawyers for the county asked for the hearing to be moved up to today, to ensure there was enough time to create the ballots"
"In an Instagram post last week, Love told her followers her team had written a petition to validate her application to run for the district seat. She thanked the Oakland City Clerk and the city attorney for helping her through the process.",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,"In an Instagram post last week, Love told her followers her team had written a petition to validate her application to run for the district seat"
"“We are moving forward because our campaign is committed to fighting for equity and social justice for our community in District 7,” she wrote. “We believe that every resident deserves to be represented and have access to the resources and opportunities to thrive.”",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,she wrote
The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.,Unnamed Group of People,community members,,several community members and organizations such as the East Oakland Collective nonprofit
