SourcedStatement,SourceType,Name,Title,Justification
Lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression.,Named Organization Sources,American Civil Liberties Union (ACLU),,mentioned as taking action to support trans voters
Staff for the organization have also held clinics elsewhere to prepare trans Americans for the identification requirements they will have to navigate.,Named Organization Sources,American Civil Liberties Union (ACLU),,mentioned as providing support to trans Americans
"The ACLU sued the agency for discrimination, claiming the rule was adopted illegally because it didn’t follow proper administrative procedure.",Named Organization Sources,American Civil Liberties Union (ACLU),,mentioned as taking legal action against discriminatory rules
VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are.,Named Organization Sources,VoteRiders,,mentioned as providing support to voters
"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender.",Named Organization Sources,Equality Florida,,mentioned as providing support to trans voters in Florida
"There is a chilling effect... There is an unsafe and intimidating environment around existing as trans in society, and definitely in being able to go to the polls safely and cast a ballot.",Named Person Sources,Lauren Kunis,CEO and Executive Director of VoteRiders,quoted to highlight the impact of anti-trans laws on trans voters
A lot is falling on poll workers to correctly enforce the law... And I would argue that is less of a solid protection in states where anti-trans rhetoric is skyrocketing.,Named Person Sources,Lauren Kunis,CEO and Executive Director of VoteRiders,quoted to emphasize the challenges faced by poll workers
Trans votes count... I think the big takeaway is that our community is really trying to come out and make a difference through the democratic process.,Named Person Sources,Ankit Rastogi,Director of Research for the National Center for Transgender Equality,quoted to highlight the importance of trans votes
"Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID.",Named Person Sources,Lucas Cameron-Vaughn,Attorney for the ACLU of Tennessee,quoted to explain the challenges faced by trans individuals
It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people.,Named Person Sources,Rose Saxe,Deputy Project Director for the ACLU’s LGBT & HIV Project,quoted to describe a tactic used by politicians supporting anti-trans policies
We saw it as a move to inflict maximum chaos and misunderstanding... And really to scare trans folks from even participating and getting the license if they needed to update it.,Named Person Sources,Quinn Diaz,Public Policy Associate at Equality Florida,quoted to describe the impact of Florida's new gender marker regulation
"With these laws in Florida, you’re forced to choose between living authentically and just not really participating in public life.",Named Person Sources,Quinn Diaz,Public Policy Associate at Equality Florida,quoted to highlight the challenges faced by trans individuals in Florida
There’s nothing these laws will do to stop me from living my best life... It just puts my energy and passion towards making this place better for me and other trans people.,Named Person Sources,Hazel Krebs,,quoted to share her personal experience and determination
It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box.,Named Person Sources,Josie Caballero,Director of Voting and Elections,quoted to highlight the resilience of the trans community
"At least nine states in the past two years have explicitly regulated gender in this way, according to a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy.",Document Sources,Movement Advancement Project (MAP),,cited as a source for tracking LGBTQ+ policy
"The Williams Institute at the University of California, Los Angeles School of Law, estimated ahead of the 2022 midterm election that more than 200,000 voting-eligible transgender Americans may find it difficult to vote at the time because of voter ID laws.",Document Sources,"The Williams Institute at the University of California, Los Angeles School of Law",,referenced for estimating the impact of voter ID laws on trans Americans
"An analysis released in August of respondents to the 2022 U.S. Transgender Survey, widely seen as the most comprehensive study of binary and nonbinary transgender Americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the U.S. population.",Document Sources,2022 U.S. Transgender Survey,,cited as the most comprehensive study of binary and nonbinary transgender Americans
"Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID.",Unnamed Group of People,Trans people,,"explained by Lucas Cameron-Vaughn, an attorney for the ACLU of Tennessee, to illustrate the challenges faced by trans individuals"
Gender nonconforming people are already under such public scrutiny nationwide.,Unnamed Group of People,Gender nonconforming people,,mentioned by Quinn Diaz to highlight the increased scrutiny faced by this group
Cisgender women... are the people harmed by protections for trans people.,Unnamed Group of People,Cisgender women,,referenced by Rose Saxe to describe a tactic used by politicians supporting anti-trans policies
Black and Hispanic people... are among those most likely not to have a current license.,Unnamed Group of People,Black and Hispanic people,,"according to the Center for Democracy and Civic Engagement at the University of Maryland, to highlight the impact of ID requirements"
