SourcedStatement,SourceType,Name,Title,Justification
Sam Altman called an OpenAI board member’s research paper a danger to the company weeks before he was ousted as its chief executive.,Named Person,Sam Altman,chief executive,"Sam Altman, the chief executive"
"Another member, Ilya Sutskever, thought Mr. Altman was not always being honest when talking with the board.",Named Person,Ilya Sutskever,board member,"Another member, Ilya Sutskever"
"The news that he was being pushed out came in a videoconference on Friday afternoon, when Mr. Sutskever, who had worked closely with Mr. Altman at OpenAI for eight years, read him a statement.",Named Person,Ilya Sutskever,board member,"Mr. Sutskever, who had worked closely with Mr. Altman at OpenAI for eight years"
"Those tensions seemingly came to an end late Tuesday when Mr. Altman was reinstated as chief executive. Mr. Sutskever and others critical of Mr. Altman were jettisoned from the board, whose members now include Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce, and Larry Summers, the former Treasury Department secretary. The only holdover is Adam D’Angelo, chief executive of the question-and-answer site, Quora.",Named Person,Sam Altman,chief executive,Mr. Altman was reinstated as chief executive
"Among the tensions leading up to Mr. Altman’s ouster and quick return involved his conflict with Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology.",Named Person,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,"Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology"
"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times.",Named Person,Sam Altman,chief executive,"Mr. Altman, the chief executive"
"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.",Named Person,Sam Altman,chief executive,"Mr. Altman, the chief executive"
Ms. Toner defended it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing A.I.,Named Person,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,"Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology"
"“I did not feel we’re on the same page on the damage of all this,” he wrote in the email. “Any amount of criticism from a board member carries a lot of weight.”",Named Person,Sam Altman,chief executive,"Mr. Altman, the chief executive"
"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed, a person involved in the conversations said.",Named Person,Ilya Sutskever,Senior OpenAI leader,"Senior OpenAI leaders, including Mr. Sutskever"
"But shortly after those discussions, Mr. Sutskever did the unexpected: He sided with board members to oust Mr. Altman, according to two people familiar with the board’s deliberations.",Named Person,Ilya Sutskever,board member,"Mr. Sutskever, a board member"
The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”,Named Person,Ilya Sutskever,board member,"Mr. Sutskever, a board member"
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Person,Sally Aldous,Anthropic spokeswoman,"Sally Aldous, Anthropic spokeswoman"
"In a second statement, Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”",Named Organization,Anthropic,null,"Anthropic, a company that has become OpenAI’s biggest rival"
"After vetting four candidates for one position, the remaining directors couldn’t agree on who should fill it, said the two people familiar with the board’s deliberations.",Anonymous Source,null,null,two people familiar with the board’s deliberations
"Hours after Mr. Altman was ousted, OpenAI executives confronted the remaining board members during a video call, according to three people who were on the call.",Anonymous Source,null,null,three people who were on the call
"During the call, Jason Kwon, OpenAI’s chief strategy officer, said the board was endangering the future of the company by pushing out Mr. Altman. This, he said, violated the members’ responsibilities.",Named Person,Jason Kwon,OpenAI’s chief strategy officer,"Jason Kwon, OpenAI’s chief strategy officer"
"Ms. Toner disagreed. The board’s mission was to ensure that the company creates artificial intelligence that “benefits all of humanity,” and if the company was destroyed, she said, that could be consistent with its mission. In the board’s view, OpenAI would be stronger without Mr. Altman.",Named Person,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,"Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology"
"On Sunday, Mr. Sutskever was urged at OpenAI’s office to reverse course by Mr. Brockman’s wife, Anna, according to two people familiar with the exchange.",Anonymous Source,null,null,two people familiar with the exchange
"Hours later, he signed a letter with other employees that demanded the independent directors resign.",Unnamed Group of People,employees,null,other employees
The confrontation between Mr. Sutskever and Ms. Brockman was reported earlier by The Wall Street Journal.,Named Organization,The Wall Street Journal,null,"The Wall Street Journal, a news organization"
"At 5:15 a.m. on Monday, he posted on X, formerly Twitter, that “I deeply regret my participation in the board’s actions.”",Named Person,Ilya Sutskever,board member,"Ilya Sutskever, board member"
