SourcedStatement,SourceType,Name,Title,Justification
Trump’s campaign platform has indicated that measures to “stop the invasion” and “close the borders” would be taken on day one.,Named Organization Sources,Trump’s campaign,,Trump’s campaign platform is cited to outline potential immigration policies under a second Trump presidency.
Project 2025 is a plan created by a conservative think tank with ties to Trump that lays out what the president should change in the first 180 days after taking office.,Named Organization Sources,Project 2025,,"Project 2025, a plan by a conservative think tank, is referenced to discuss potential immigration policy changes under a second Trump administration."
"Brian Manning, a political asylum lawyer and former government asylum officer, said that asylum could be impacted by a second Trump presidency more drastically than before.",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,"Brian Manning, a political asylum lawyer and former government asylum officer, provides expert insight into potential impacts of a second Trump presidency on asylum policies."
"""There is concern that they’ll [asylum restrictions] actually be implemented more effectively. Last time, he didn’t expect to win and didn’t have a professional class built around him that could actually get things done in government in general,"" Manning said.",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,"Brian Manning, a political asylum lawyer and former government asylum officer, provides expert insight into potential impacts of a second Trump presidency on asylum policies."
"He added that now Trump could surround himself with people who can push for policies that would stand in court, as opposed to the executive actions that were challenged during the first administration.",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,"Brian Manning, a political asylum lawyer and former government asylum officer, provides expert insight into potential impacts of a second Trump presidency on asylum policies."
"""It is safe to assume that after the many missteps of his first presidency, that his administration would be better equipped to learn from their past mistakes and more effectively attack immigrant communities from the White House,"" Marlene Galaz, Director of Immigrant Rights Policy, New York Immigration Coalition, said.",Named Person Sources,Marlene Galaz,"Director of Immigrant Rights Policy, New York Immigration Coalition","Marlene Galaz, Director of Immigrant Rights Policy at the New York Immigration Coalition, offers a perspective on how a second Trump administration might approach immigration policies."
"""The stuff about immigration is pretty severe. There are talks around the Project 2025 crowd about eliminating work authorization for asylum seekers, getting rid of TPS, Temporary Protected Status,"" Manning said.",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,"Brian Manning, a political asylum lawyer and former government asylum officer, provides expert insight into potential impacts of a second Trump presidency on asylum policies."
"""We anticipate the president, Trump, to use its executive authority to implement these policies — but again, we anticipate we should be able to challenge,"" Nils Kinuani, Federal Policy Manager at African Communities Together (ACT), said.",Named Person Sources,Nils Kinuani,Federal Policy Manager at African Communities Together (ACT),"Nils Kinuani, Federal Policy Manager at African Communities Together (ACT), discusses potential challenges to Trump's immigration policies."
He added that in the past ACT and other partner organizations have successfully challenged Trump’s policies through litigation.,Named Person Sources,Nils Kinuani,Federal Policy Manager at African Communities Together (ACT),"Nils Kinuani, Federal Policy Manager at African Communities Together (ACT), discusses potential challenges to Trump's immigration policies."
"""It is not impossible but it becomes harder to challenge that. But, again … it is very unlikely given the current political climate.""",Named Person Sources,Nils Kinuani,Federal Policy Manager at African Communities Together (ACT),"Nils Kinuani, Federal Policy Manager at African Communities Together (ACT), discusses potential challenges to Trump's immigration policies."
