SourcedStatement,SourceType,Name,Title,Justification
"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.",Named Organization Sources,Mayor London Breed's Office,,stating the city's policy intention regarding homelessness
"In order to bring public attention to the moral question of sweeps, the Coalition on Homelessness and other unhoused advocates planned to crash an encampment sweep in SoMa last Thursday,",Named Organization Sources,The Coalition on Homelessness,,organizing advocacy efforts around homelessness and sweeps
"Public Works employees began examining and collecting O’Brien’s possessions as soon as he was detained, without giving him the sorting time required by policy.",Named Organization Sources,San Francisco Department of Public Works,,enforcing city policy on encampments; handling possessions
"All they do is tell me to go back to the Hunters Point Navigation Center. And I don’t want to do that. I had bad experiences,”",Named Person Sources,Antonio Robinson,,experiencing homelessness; prior negative experiences with navigation center
"I don’t understand,”; “bits of silver.”; “You’re going to have to pick it up later.”",Named Person Sources,Joey O’Brien,,experiencing homelessness; interacting with law enforcement during sweep
"Typically, with city sweeps, they give 72 hours of notice with location and time, and we were following that, but they didn’t follow that usual rule,”",Named Person Sources,Julian Highsmith,Communications and Policy Director for the Coalition on Homelessness,representing the Coalition on Homelessness; critiquing city's sweep practices
the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.”,Named Person Sources,Rachel Gordon,Public Works Spokesperson,responding to questions about Public Works' protocol adherence
"Between December 2022 and June of this year, a federal injunction prevented the city from penalizing people for sleeping on public property without an alternative offer for shelter.",Document Sources,Federal Court (Injunction),,federal court ruling guiding city policy
"According to a federal survey released in May, more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Document Sources,Federal Survey (May),,official statistics on homelessness and shelter capacity
Public Works policy... clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.,Document Sources,Public Works Policy,,guiding policy for city's handling of encampment belongings
"Dozens of people lined the sidewalks that had been swept just hours prior, fussing with their belongings, setting up new tents, and discreetly selling wares to one another.",Unnamed Group of People,people,,residing in the area after a sweep; setting up new tents
"Many unhoused people, including Robinson, say it can be challenging to identify and retrieve their belongings at the facility.",Unnamed Group of People,unhoused people,,experiencing challenges with the city's storage facility
