SourcedStatement,SourceType,Name,Title,Justification
The Alameda County Registrar is scheduled to send the final ballot for printing on Friday.,Named Organization Sources,Alameda County Registrar,,responsible for managing the election process; providing key deadlines
"Lawyers for the county asked for the hearing to be moved up to today, to ensure there was enough time to create the ballots.",Named Organization Sources,Alameda County,,party in the court case; explaining their request for an expedited hearing
The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.,Named Organization Sources,East Oakland Collective nonprofit,,supporting Tonya Love's campaign; indicating community backing
"While we are disappointed by the court’s decision not to place us on the ballot in November, I remain undeterred in my commitment to serving Oakland and our communities,” she wrote.",Named Person Sources,Tonya Love,District 7 council candidate and chief of staff for Councilmember Carroll Fife,candidate in the District 7 council race; providing her reaction to the court's decision
"My understanding is that there are other candidates for this particular district city council who would’ve liked the opportunity to have more time to gather and submit signatures, and the process needs to be uniform,” he said.",Named Person Sources,Judge Michael Markman,Alameda County Superior Court Judge,presiding judge in the case; explaining his reasoning for the ruling
"In an interview with The Oaklandside last week, Newton was resigned to his failure to gather enough signatures–he picked up 37–but said he would work with whoever came out ahead in the race to help improve the community.",Named Person Sources,David Newton,nephew of Black Panther Party founder Huey Newton,candidate who failed to gather enough signatures; providing his perspective on the outcome
The Elections Code and Oakland Ordinances only require that registered voters residing within the District sign the petition.,Document Sources,Elections Code and Oakland Ordinances,,cited as the governing laws for the petition process; establishing the legal framework
"Under the Voter’s Choice Act, registered voters on Election Day can cast their ballots at any vote center in Alameda County.",Document Sources,Voter’s Choice Act,,referenced to highlight the flexibility in voting process; contrasting with the signature collection process
"The protestors said this statement is not present in the article, however, community members and organizations such as the East Oakland Collective nonprofit, cheered on Love's message.",Unnamed Group of People,community members and organizations,,they cheered on Love's message; indicating support for Love's campaign
"A few other candidates in the last-minute scramble were able to gather enough signatures to qualify for the ballot, among them Ken Houston.",Unnamed Group of People,candidates,,they were part of the last-minute scramble to gather signatures; providing context to the challenging situation
