SourcedStatement,SourceType,Name,Title,Justification
"Groundworks Collaborative, for example, helps local people without permanent housing (its outreach team reports contact with 159 such individuals so far this year).",Named Organization Sources,Groundworks Collaborative,,nonprofit providing services to people without permanent housing
Turning Point of Windham County,Named Organization Sources,Turning Point of Windham County,,antipoverty agency; attended the latest selectboard meeting Tuesday night
Southeastern Vermont Community Action,Named Organization Sources,Southeastern Vermont Community Action,,antipoverty agency; staff member attended the providers’ meeting
Brattleboro Police Department is creating a Hotspot Evaluation and Analysis Team,Named Organization Sources,Brattleboro Police Department,,initiative to extend in-depth data for better outcomes
"“Jaws dropped,”",Named Person Sources,Jim Baker,consultant for a state public safety enhancement initiative,former commander of the Vermont State Police and one-time Rutland City police chief
"“The 20 people that are consuming a lot of resources clearly need some, but they’re not getting the right ones,”",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,recently told the town selectboard
"“Compared to communities your size, you are consistently higher,”",Named Person Sources,Jim Baker,consultant for a state public safety enhancement initiative,former commander of the Vermont State Police and one-time Rutland City police chief; recently told local leaders
"“The disorder we are witnessing, especially in our downtown area, has many causes and impacts,”",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,wrote the selectboard in a recent memorandum
"“You have a lot of people looking for help, but there’s a small percentage that, for whatever reason, are unable or unwilling to accept it.”",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,in an interview
"“Unfortunately, many of those are providers, which creates a huge, huge problem.”",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,regarding individuals facing no-trespass notices at multiple locations
"“This is something that we see in a lot of different jurisdictions,”",Named Person Sources,Robin Joy,statistical director of the Crime Research Group,told local leaders at another meeting
"“This is where the community service providers can really help,”",Named Person Sources,Robin Joy,statistical director of the Crime Research Group,regarding disorderly conduct
"“We need to consider our own boundaries around increasing safety and reducing risks,”",Named Person Sources,Libby Bennett,Groundworks Collaborative executive director,upon the first anniversary of the 2023 killing of the shelter coordinator
"“All of us area agencies, we are doing everything humanly possible that we can do,”",Named Person Sources,Christine Allen,executive director of Turning Point of Windham County,attended the latest selectboard meeting Tuesday night
"“We are so straight out, working our tails off — and we can’t do this without the police.”",Named Person Sources,Christine Allen,executive director of Turning Point of Windham County,attended the latest selectboard meeting Tuesday night
"“We were looking at real information that made us have some quite difficult conversations,”",Named Person Sources,Daniel Quipp,chair of the selectboard and staff member of Southeastern Vermont Community Action,following the providers’ meeting
"A study by the Vermont nonprofit Crime Research Group shows Brattleboro police are dispatched most to the local Quality Inn, where the state is housing people otherwise without shelter (authorities received 181 calls there in the first half of this year),",Document Sources,Crime Research Group,,Vermont nonprofit; study on Brattleboro police dispatch data
"“All of us area agencies, we are doing everything humanly possible that we can do,”",Unnamed Group of People,social service leaders,,attended the latest selectboard meeting Tuesday night; expressed hope to collaborate with police
"“We are so straight out, working our tails off — and we can’t do this without the police.”",Unnamed Group of People,area agencies,,attended the latest selectboard meeting Tuesday night; expressed need for collaboration with police
"“We need to consider our own boundaries around increasing safety and reducing risks,”",Unnamed Group of People,providers,,after the 2023 killing of Groundworks Collaborative's shelter coordinator
