SourcedStatement,SourceType,Name,Title,Justification
Lawyers for Tonya Love argue that “technical errors should not prevent the intent of the voters from being realized.”,Named Organization Sources,Kaufman Legal Group,,Lawyers for Tonya Love
The county attorneys countered in a brief that the state election code deems signatures on a nomination form invalid if they don’t include a signature and a printed name and if the address of the candidate’s supporter is not consistent with their voter registration form.,Named Organization Sources,county attorneys,,county attorneys
The Alameda County Registrar is scheduled to send the final ballot for printing on Friday.,Named Organization Sources,Alameda County Registrar,,Alameda County Registrar
The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.,Named Organization Sources,East Oakland Collective,,organizations such as the East Oakland Collective nonprofit
"“While we are disappointed by the court’s decision not to place us on the ballot in November, I remain undeterred in my commitment to serving Oakland and our communities,” she wrote. “My dedication to our city does not begin nor end with a campaign. There are many ways to effect change and ensure our voices are heard. I will continue to work alongside each of you, advocating for public health, safety, and equitable development in Oakland.”",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,"Tonya Love, former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife"
"“My understanding is that there are other candidates for this particular district city council who would’ve liked the opportunity to have more time to gather and submit signatures, and the process needs to be uniform,” he said. “In its implementation, it looks like the ROV attempted to do that here.”",Named Person Sources,Michael Markman,Alameda County Superior Court Judge,Alameda County Superior Court Judge Michael Markman
"“There are only three in this one,” he said, “but I can imagine scenarios where it could be 23 in future cases.”",Named Person Sources,Michael Markman,Alameda County Superior Court Judge,Alameda County Superior Court Judge Michael Markman
"In an interview with The Oaklandside last week, Newton was resigned to his failure to gather enough signatures–he picked up 37–but said he would work with whoever came out ahead in the race to help improve the community.",Named Person Sources,David Newton,null,a nephew of Black Panther Party founder Huey Newton
"“We are moving forward because our campaign is committed to fighting for equity and social justice for our community in District 7,” she wrote. “We believe that every resident deserves to be represented and have access to the resources and opportunities to thrive.”",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,"Tonya Love, former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife"
The Elections Code and Oakland Ordinances only require that registered voters residing within the District sign the petition.,Document Sources,Elections Code and Oakland Ordinances,,The Elections Code and Oakland Ordinances only require that registered voters residing within the District sign the petition
The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.,Unnamed Group of People,community members,,several community members and organizations such as the East Oakland Collective nonprofit
