No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Tehran instead announced an understanding with Oman on a new commercial transit route through the strait, but the plan cannot take effect without U.S. approval, and leaves unresolved Washington’s blockade, Iran’s nuclear program and the broader negotiations.",Named Organization,Tehran,,,
2,"Iran insists it must retain authority over passage through the strait, while the United States has demanded unrestricted commercial navigation.",Named Organization,Iran,,,
3,"President Donald Trump insisted on Monday that Tehran wants to strike a deal with Washington, but claims they are unwilling to accept necessary terms to end the stalemate.",Named Person,Donald Trump,President,,
4,"""They want to make a deal, but they're not going to make the kind of a deal that I feel is necessary,"" Trump told reporters in the Oval Office, adding that Iran ""cannot have a nuclear weapon.""",Named Person,Donald Trump,President,,
5,"Iranian Foreign Ministry spokesperson Esmail Baghaei said the two countries had reached ""an understanding... regarding the map of the transit route"" and were working to finalize a joint statement.",Named Person,Esmail Baghaei,Iranian Foreign Ministry spokesperson,,
6,"Iran's parliamentary speaker, Mohammad Bagher Qalibaf, claimed Tuesday that Iran's Islamic Revolutionary Guard Corps will maintain control over shipping traffic in the Strait of Hormuz until the United States agrees to its conditions.",Named Person,Mohammad Bagher Qalibaf,Iran's parliamentary speaker,,
7,"""Until the United States fulfills its commitments under the agreement, including lifting the blockade, releasing frozen assets, lifting oil sanctions, ending threats and military operations on all fronts, and implementing the other conditions to which it committed, the Strait of Hormuz will not reopen,"" Qalibaf said, according to The Associated Press.",Named Organization,Associated Press,,,
8,"Trump responded in a Fox News interview: ""If Oman gets in the way, we'll bomb the s--- out of them.""",Named Person,Donald Trump,President,,
9,"The president also said Iran should surrender to end the war, telling Fox News, ""They should put up the white flag of surrender."" He has maintained that preventing Iran from obtaining a nuclear weapon remains the administration's central objective.",Named Person,Donald Trump,President,,
10,"Iran has demanded sanctions relief, the release of frozen Iranian assets and an end to the U.S. naval blockade, while maintaining that it must retain authority over passage through Hormuz.",Named Organization,Iran,,,
11,"Washington has demanded unrestricted commercial navigation through the strait, which carried roughly one-fifth of the world’s oil and liquefied natural gas before the war.",Named Organization,Washington,,,
12,"Iran was blamed for a June 25 strike on a commercial vessel in the Strait of Hormuz, prompting U.S. strikes on Iranian missile and drone storage sites and radar facilities, according to U.S. Central Command (CENTCOM).",Named Organization,U.S. Central Command (CENTCOM),,,
13,"Fighting escalated again in July after Iran struck three vessels in the waterway. CENTCOM said it struck more than 300 Iranian military targets over three nights, including missile and drone sites, naval capabilities, ammunition storage facilities, communications networks and coastal surveillance positions.",Named Organization,U.S. Central Command (CENTCOM),,,
14,"U.S. strikes continued through July 22, with CENTCOM saying the operations targeted Iranâ€™s maritime capabilities, missile and drone storage facilities, coastal surveillance sites and air defense assets. The command did not release an updated cumulative target count.",Named Organization,U.S. Central Command (CENTCOM),,,
15,"Most recently, two vessels operated by the UAEâ€™s state-owned Abu Dhabi National Oil Company were attacked while transiting the strait, Reuters reported. The UAE blamed Iran, which did not immediately comment.",Named Organization,Reuters,,,
16,The failure to secure a deal also comes as reports indicate the war has strained U.S. munitions inventories.,Document,Reports,,,
17,"Reuters reported earlier this month, citing sources familiar with the data, that the Army had used ""virtually all"" of its ATACMS and Precision Strike Missile stocks during the conflict and had expended just under half of its global Tomahawk inventory.",Named Organization,Reuters,,,
18,"Pentagon officials have pushed back on the contention that the drawdown has undermined U.S. readiness, while calling on defense companies to accelerate weapons production.",Named Organization,Pentagon,,,
19,An analysis by the Center for Strategic and International Studies estimated that U.S. Patriot interceptor inventories had fallen by at least 65% from their prewar level.,Named Organization,Center for Strategic and International Studies,,,
20,War Secretary Pete Hegseth said last week that the U.S. Navy could maintain its blockade of Iran indefinitely by rotating ships in and out of the region.,Named Person,Pete Hegseth,War Secretary,,
