No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"For Roberto, a 55-year-old father and restaurant busser whose hours were slashed during the pandemic, the few thousand dollars promised by the Emergency Rental Assistance Program (ERAP) would have lifted a heavy burden off his shoulders.* Instead, Roberto’s attempt to access the funds only added to his worry. After submitting an application to ERAP, he never heard back.**",Anonymous Source,,,"father, restaurant busser",whose hours were slashed during the pandemic
2,“What if we don’t get the help? How are we supposed to know our application status?” Roberto asked.,Anonymous Source,,,"father, restaurant busser",whose hours were slashed during the pandemic
3,“Me gusta que me responden” (“I like that they respond to me”) one interviewee said.,Unnamed Person,,,,
4,"Community members described social services and financial assistance such as rent relief, food aid, and utilities assistance as among the programs they could use, but described frustration with the challenges of the application processes, generally due to one or more of the following reasons: Difficulty of providing documentation when many undocumented immigrants are paid under the table or are not named on rental leases Challenges accessing information digitally Complicated/confusing applications without assistance readily available",Unnamed Group of People,,,Community members,
5,"“I don’t know my email address and cannot apply to the services they send links for,” one interviewee expressed. “It would be helpful to learn how to navigate these applications online. My kids do not have any patience to teach me.”",Unnamed Person,,,,
6,"several shared that once their children turned 18, they were unable to access adequate food.",Unnamed Group of People,,,,
7,“My husband died from COVID and these services do not take into account my circumstances.”- Yolanda,Anonymous Source,,,,
8,"“Are they going to help us?,” asked one community member when El Tímpano directed her to a financial assistance program. “Because I applied for rent help and they’re asking for a number of requirements.”",Unnamed Person,,,,
9,"“I can’t talk for too long, and I need help filling out applications. I can give you all the requirements but I need someone to help me out and explain things to me,” said a father of two who commutes from Oakland to Richmond for work.",Unnamed Person,,,father,who commutes from Oakland to Richmond for work
10,"“Links are confusing”, another shared, “I need someone to explain what they mean to me.”",Unnamed Person,,,,
11,"One interviewee learned that she missed a deadline for financial support because she did not know she needed to check an email. When she did, the email was in English and there was no one to translate it into Spanish for her. She tried going in person and interacting over the phone, but recounted that even then, she experienced a long wait, poor treatment, and was unable to learn the status of her application. “It makes me angry and feel helpless. I am already getting a ride from someone, I can’t just wait there for hours.” She expressed frustration that resource providers would not empathize or attempt to understand the difficulty of accessing the email and resource in general.",Unnamed Person,,,,
12,"“There is no way to check your application status, the hours of the phone line vary, and no one can tell you whether or not you will be getting the rental assistance.”",Unnamed Person,,,,
13,"Despite the significant challenges community members described throughout our interviews, there was also a resounding sentiment our interviewees shared: gratitude to have a moment of desahogo — to finally share this isolating experience with someone, even if it is just a phone call with a person listening on the other side.",Unnamed Group of People,,,"community members, interviewees",
