No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"The United States is banning the import of some dairy products and motorcycles from Canada along with most alcoholic beverages, the White House said Tuesday, as part of a trade war that shows little sign of cooling off.",Named Organization,White House,,,
2,The ban will take effect Sept. 29 and comes after retaliatory tariffs promised by Canada kicked in earlier Tuesday on $20 billion in U.S. imports. Canada had responded to tariff moves by U.S. President Donald Trump after trade talks between the countries broke down last month.,Named Organization,Canada,,,
3,"Trump also moved to shut Canadian products out of large, long-term U.S. government contracts and directed the U.S. General Services Administration to declare Canadian products ineligible for those contracts until Canada allows “full and fair reciprocity″ for American products.",Named Person,Donald Trump,President,,
4,"Canadian Prime Minister Mark Carney said Canada’s strategy was about becoming more independent and vowed to speed those efforts. “It’s about ensuring that no country can hold us hostage. And that we can live how we want to live,” he said.",Named Person,Mark Carney,Canadian Prime Minister,,
5,"On Aug. 22, the U.S. imposed 50% tariffs on about 5% of Canadian imports, charging that Canada had unfairly treated the American dairy, alcoholic beverage and auto industries.",Named Organization,United States,,,
6," In addition to imposing tariffs on Canadian products, Trump has repeatedly made inflammatory comments about making Canada the 51st U.S. state. ",Named Person,Donald Trump,President,,
7,Carney came to power in a come-from-behind political victory last year by promising to stand up to him.,Named Person,Mark Carney,Canadian Prime Minister,,
8,"Canada is exploring ties with the European Union that could stop just short of membership, a Canadian official familiar with the discussions said.",Anonymous Source,,Canadian official,,a Canadian official familiar with the discussions; spoke on condition of anonymity because they were not authorized to discuss the talks publicly
9," The official said Canada is already consulting provinces, territories and labor groups about what a deeper relationship with the EU could look like, but no model has been chosen.",Anonymous Source,,Canadian official,,a Canadian official familiar with the discussions; spoke on condition of anonymity because they were not authorized to discuss the talks publicly
10,"Carney acknowledged the trade actions would cause short-term pain but said they would push Canada to move faster on investment, infrastructure and trade diversification.",Named Person,Mark Carney,Canadian Prime Minister,,
11,"“It was easy business, but it meant we relied too much on one economic partner,” he said. “That time is over.”",Named Person,Mark Carney,Canadian Prime Minister,,
12, He said Canada’s exports to other countries are rising sharply and are on track to double over the next decade.,Named Person,Mark Carney,Canadian Prime Minister,,
13,"Carney defended the retaliation, saying Canada could not let American goods enter tariff-free while Canadian companies face U.S. tariffs.",Named Person,Mark Carney,Canadian Prime Minister,,
14,"Canada was not seeking to escalate the confrontation, he said, but the tariffs were necessary to protect Canadian workers.",Named Person,Mark Carney,Canadian Prime Minister,,
15,"Carney said the larger problem was what Washington had sought in the failed negotiations.
",Named Person,Mark Carney,Canadian Prime Minister,,
16,"“The most fundamental issue is that the cumulative U.S. demands revealed that they wanted us to become even more reliant on them, not less,” he said. “In too many areas, they wanted dependency, not a true economic partnership.”",Named Person,Mark Carney,Canadian Prime Minister,,
17,"The prime minister said Washington sought limits on French-language and cultural protections, influence over future trade deals and terms that would weaken the auto, steel and forestry sectors.",Named Person,Mark Carney,Canadian Prime Minister,,
18,"Earlier on Tuesday, a Canadian official said Ottawa did not intend to change course regardless of whether Trump responded with nothing or what the official called a “nuclear response.” The government’s strategy will remain focused on building more at home and diversifying trade abroad, the official said.",Unnamed Person,,Canadian official,,
19,"Since Canada-U.S. trade talks collapsed Aug. 21, Trump and his administration have imposed additional tariffs and issued a series of threats and attacks portraying Canada as weak and dependent.",Named Person,Donald Trump,President,,
20,"Since Canada-U.S. trade talks collapsed Aug. 21, Trump and his administration have imposed additional tariffs and issued a series of threats and attacks portraying Canada as weak and dependent.",Named Organization,Trump administration,,,
21,"British Columbia Premier David Eby said the province will install new signs at U.S. border crossings reading: “Welcome to British Columbia, Canada. Strong, proud and will NEVER be the 51st state. Sorry!”
",Named Person,David Eby,British Columbia Premier ,,
22,"“While our kindness is one of our greatest strengths, you should never, ever mistake that kindness for weakness,” Eby said.",Named Person,David Eby,British Columbia Premier ,,
23,"Canada-U.S. Trade Minister Dominic LeBlanc said the government was assessing the latest U.S. tariff measures and that he remained in contact with U.S. Trade Representative Jamieson Greer, adding that Canada was ready to engage when Washington was.",Named Person,Dominic LeBlanc,Canada-U.S. Trade Minister,,
24,The senior Trump administration official who briefed reporters during a conference call late Tuesday that was arranged by the White House said U.S. and Canadian trade representatives have had “constructive conversations” and would speak again in coming days to see if there’s a “path forward.”,Unnamed Person,,senior Trump administration official,,who briefed reporters during a conference call late Tuesday that was arranged by the White House said U.S. 
25,"Former U.S. trade official Wendy Cutler said Carney’s public approval rating, now topping 70%, gives him little reason to restart talks.",Named Person,Wendy Cutler,Former U.S. trade official,,
26,"“Clearly, at this point each side does not want to look too anxious to reengage in fear of looking weak,” she said.",Named Person,Wendy Cutler,Former U.S. trade official,,
