SourcedStatement,SourceType,Name,Title,Justification
"“It just shortens the whole timeline in which a person can lose their home,” said Brian Rees, a staff attorney at The Works Inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years. “Things (can now) happen very, very quickly.”",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"If the governor signed it, Henderson said, it would have “devastating” consequences for renters.",Named Person,Deborah Henderson,Judge,"In a sparsely populated room at the Hickory Hill Community Center in mid-April, Judge Deborah Henderson was quite candid with the renters gathered to learn about the eviction process.; who judges thousands of eviction cases per year"
"To Henderson, who judges thousands of eviction cases per year, the only explanation for such action was landlord lobbying.",Named Person,Deborah Henderson,Judge,"In a sparsely populated room at the Hickory Hill Community Center in mid-April, Judge Deborah Henderson was quite candid with the renters gathered to learn about the eviction process.; who judges thousands of eviction cases per year"
"The Tennessee Association of Realtors is the sixth largest spender on Tennessee politics, according to the Tennessee Lookout’s database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009.",Named Organization,the Tennessee Lookout,null,null
"“Landlords have always had a very strong lobbying group,” she said.",Named Person,Deborah Henderson,Judge,"In a sparsely populated room at the Hickory Hill Community Center in mid-April, Judge Deborah Henderson was quite candid with the renters gathered to learn about the eviction process.; who judges thousands of eviction cases per year"
"In the statement, Swann said the bill will help landlords free up apartments more quickly for the thousands of Tennesseeans seeking a home. He also said it would help the apartment industry develop new apartments, but he didn’t make clear how it would.",Named Person,Art Swann,Sen. (R-Maryville),who sponsored the legislation in the Senate
"The Tennessee Association of Realtors has been Swann’s top funder since the start of 2009, according to the Tennessee Lookout, giving him $18,750. It has also given Boyd $11,500 since 2009, making it his No. 6 funder.",Named Organization,the Tennessee Lookout,null,null
"But, in a sample of 1,090 recent eviction cases, MLK50 found that 145 (about 13%) appeared on the court’s schedule for a second time two weeks after they were initially scheduled — meaning these renters were likely granted the two-week extension they were entitled to.",Named Organization,MLK50,null,"in a sample of 1,090 recent eviction cases"
"While the difference of a week may not seem like much, Rees said it can really matter for these renters since the pathways to avoiding eviction can take time to figure out.",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"“It’s disheartening to see them make a change that will affect families who are struggling,” Rees said.",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"This session, Thompson thought he had a shot at amending state law to let Memphis join its peer in Middle Tennessee — until he realized the Tennessee Association of Realtors was dead set against him, no matter what compromises he offered them.",Named Person,Dwayne Thompson,Rep. (D-Cordova),another attempt by the City of Memphis and Rep. Dwayne Thompson (D-Cordova) to create a registry of all the city’s rental housing
"“(TAR) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,” Thompson said. “(And) they were just ironclad.”",Named Person,Dwayne Thompson,Rep. (D-Cordova),another attempt by the City of Memphis and Rep. Dwayne Thompson (D-Cordova) to create a registry of all the city’s rental housing
"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Named Person,Erika Sugarmon,Shelby County Commissioner,During the subcommittee hearing
"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Named Person,Robert Knecht,City of Memphis Division of Public Works director,During the subcommittee hearing
"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Unnamed Group of People,landlord representatives,null,During the subcommittee hearing
Thompson told the subcommittee that registration had worked well for Nashville but failed to convince them.,Named Person,Dwayne Thompson,Rep. (D-Cordova),another attempt by the City of Memphis and Rep. Dwayne Thompson (D-Cordova) to create a registry of all the city’s rental housing
"Rep. Pat Marsh (R-Shelbyville) said he opposed the bill because he doubted bad landlords would comply with it, making it ineffective.",Named Person,Pat Marsh,Rep. (R-Shelbyville),null
"“How are you going to find the (bad actors)? It looks to me like the good people will do it but the bad people aren’t going to change,” Marsh said during the subcommittee hearing.",Named Person,Pat Marsh,Rep. (R-Shelbyville),during the subcommittee hearing
"Given TAR’s opposition and the legislature itself having recently moved “much farther to the right,” in his experience, Thompson said a Shelby County rental registry is “probably not in the cards, for several years anyway.”",Named Person,Dwayne Thompson,Rep. (D-Cordova),another attempt by the City of Memphis and Rep. Dwayne Thompson (D-Cordova) to create a registry of all the city’s rental housing; in his experience
"While most landlords do this already, Thompson said he’s heard from tenants who tell him they have no way of contacting their landlord or property manager about maintenance issues.",Named Person,Dwayne Thompson,Rep. (D-Cordova),another attempt by the City of Memphis and Rep. Dwayne Thompson (D-Cordova) to create a registry of all the city’s rental housing
"Still, Rees sees the legislation’s passage as a win. Because even if landlords aren’t responsive, it will provide tenants with proof they’re requesting maintenance through the proper channels — proof lawyers like Rees could theoretically use in their defense.",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"“I really am happy to see that pass,” Rees said. “I think it’s important that tenants do have good quality contact information for their property manager or owner.”",Named Person,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
