SourcedStatement,SourceType,Name,Title,Justification
"the government of Texas bussed migrants, crossing into the U.S. since the spring of 2022, to Democrat strongholds in Chicago and New York City.",Named Organization Sources,government of Texas,,"the government of Texas bussed migrants, crossing into the U.S. since the spring of 2022, to Democrat strongholds in Chicago and New York City"
in the past ACT and other partner organizations have successfully challenged Trump’s policies through litigation.,Named Organization Sources,African Communities Together (ACT),,successfully challenged Trump’s policies through litigation
"Brian Manning, a political asylum lawyer and former government asylum officer, said that asylum could be impacted by a second Trump presidency more drastically than before.",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,a political asylum lawyer and former government asylum officer
"""There is concern that they’ll [asylum restrictions] actually be implemented more effectively. Last time, he didn’t expect to win and didn’t have a professional class built around him that could actually get things done in government in general,"" Manning said.",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,a political asylum lawyer and former government asylum officer
"""It is safe to assume that after the many missteps of his first presidency, that his administration would be better equipped to learn from their past mistakes and more effectively attack immigrant communities from the White House,"" Marlene Galaz, Director of Immigrant Rights Policy, New York Immigration Coalition, said.",Named Person Sources,Marlene Galaz,"Director of Immigrant Rights Policy, New York Immigration Coalition","Director of Immigrant Rights Policy, New York Immigration Coalition"
"""We anticipate the president, Trump, to use its executive authority to implement these policies — but again, we anticipate we should be able to challenge,"" Nils Kinuani, Federal Policy Manager at African Communities Together (ACT), said.",Named Person Sources,Nils Kinuani,Federal Policy Manager at African Communities Together (ACT),Federal Policy Manager at African Communities Together (ACT)
"""It is not impossible but it becomes harder to challenge that. But, again … it is very unlikely given the current political climate.""",Named Person Sources,Nils Kinuani,Federal Policy Manager at African Communities Together (ACT),Federal Policy Manager at African Communities Together (ACT)
Project 2025 is a plan created by a conservative think tank with ties to Trump that lays out what the president should change in the first 180 days after taking office.,Document Sources,Project 2025,,a plan created by a conservative think tank with ties to Trump that lays out what the president should change in the first 180 days after taking office
"Additional anti-asylum measures in Project 2025 include increasing the credible fear threshold, limiting the funds assigned to NGOs helping asylum seekers and codifying asylum bars and the third country transit rules.",Document Sources,Project 2025,,a plan created by a conservative think tank with ties to Trump that lays out what the president should change in the first 180 days after taking office
Trump’s campaign platform has indicated that measures to 'stop the invasion' and 'close the borders' would be taken on day one.,Document Sources,Trump Campaign Platform,,Trump’s campaign platform has indicated
Fifty-two percent of 170 respondents said they need more information about what will happen to asylum.,Unnamed Group of People,respondents,,our Spanish-speaking readers
