SourcedStatement,SourceType,Name,Title,Justification
"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",Named Organization Sources,Memphis Area Legal Services,,"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes."
"The initial goal was for MALS to use the money to hire a few employees — including a former code inspector since property conditions almost always drive the disputes. The nonprofit would then find tenants and landlords who seemed headed toward eviction and prevent at least 300 evictions — all in a year. The founders hoped this type of impact would prove the need for a specialized housing court in Shelby County, where judges could take a property’s condition into account when deciding eviction cases — as opposed to simply whether a tenant was behind on rent.",Named Organization Sources,Memphis Area Legal Services,,The initial goal was for MALS to use the money to hire a few employees — including a former code inspector since property conditions almost always drive the disputes.
"But receiving the money from the county turned into an adventure. The cash didn’t make it to MALS until February 2024, due to problems with how the County Commission resolution was originally drafted, Henderson said.",Named Organization Sources,Memphis Area Legal Services,,"But receiving the money from the county turned into an adventure. The cash didn’t make it to MALS until February 2024, due to problems with how the County Commission resolution was originally drafted, Henderson said."
"Recently, MALS worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, Henderson said.",Named Organization Sources,Memphis Area Legal Services,,"Recently, MALS worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, Henderson said."
Though the program has only helped a couple of tenants so far — not 300 — Henderson believes it’s already proving its value.,Named Organization Sources,Memphis Area Legal Services,,Though the program has only helped a couple of tenants so far — not 300 — Henderson believes it’s already proving its value.
"For the program to succeed, Grida said raising greater awareness will be key, as most Memphians it could help don’t yet know it exists.",Named Organization Sources,Memphis Area Legal Services,,"For the program to succeed, Grida said raising greater awareness will be key, as most Memphians it could help don’t yet know it exists."
"Woods’ case, for instance, sounded like a perfect fit for mediation, Henderson said, if only they’d found him before the eviction was filed.",Named Organization Sources,Memphis Area Legal Services,,"Woods’ case, for instance, sounded like a perfect fit for mediation, Henderson said, if only they’d found him before the eviction was filed."
"Though the mediation program just launched, it’s going to have to quickly prove its impact. Its leaders are scheduled to present to the County Commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in February 2025.",Named Organization Sources,Memphis Area Legal Services,,"Though the mediation program just launched, it’s going to have to quickly prove its impact. Its leaders are scheduled to present to the County Commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in February 2025."
"Meanwhile, Grida said MALS is looking for other funders interested in backing the effort.",Named Organization Sources,Memphis Area Legal Services,,"Meanwhile, Grida said MALS is looking for other funders interested in backing the effort."
"One day last fall, Bryant Woods’ rotted-out flooring opened up beneath his 11-year-old daughter. Major leaks in the rental home had allowed mold to thrive and rot to set in. In the winters, he was forced to use space heaters or his electric oven to stay warm since the heat didn’t work.",Named Person Sources,Bryant Woods,null,"For years, Woods’ relationship with his longtime landlord has been deteriorating. About nine months ago, the two men agreed he could withhold rent until repairs were made, he said."
"For years, Woods’ relationship with his longtime landlord has been deteriorating. About nine months ago, the two men agreed he could withhold rent until repairs were made, he said.",Named Person Sources,Bryant Woods,null,"For years, Woods’ relationship with his longtime landlord has been deteriorating."
"Then, recently, his landlord caught him by surprise and filed for eviction. He couldn’t prove his missed rent payments were part of a verbal agreement, so the judge granted the property owner’s request and told Woods his family had 10 days to move.",Named Person Sources,Bryant Woods,null,"Then, recently, his landlord caught him by surprise and filed for eviction."
