Story,No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
1-Harris-Poll,9.0,"""It's obvious that running against Harris is more challenging for Trump given the shift in these numbers, but it's certainly not insurmountable,"" Matt Wolking, a Republican campaign strategist who worked on Trump's 2020 campaign, said in response to the Reuters/Ipsos poll results.",Named Person,Matt Wolking,Republican campaign strategist ,worked on Trump's 2020 campaign
1-Harris-Poll,10.0,"He said Trump needs to stay as focused as possible in his campaign ""so he's not scaring"" away voters who were leaning his way because they didn't like Biden.",Named Person,Matt Wolking,Republican campaign strategist ,worked on Trump's 2020 campaign
1-Harris-Poll,12.0,"""We see it in this poll that people are more motivated about the future than the past,"" said Aimee Allison, founder of She the People, a liberal group that aims to grow the numbers of women of color in elected office. ""They see Kamala Harris as the future, and Republicans see this election as just about Trump. Voters are more likely to be engaged when given the option of 'more than' beating Trump.""",Named Person, Aimee Allison,founder of She the People,A liberal group that aims to grow the numbers of women of color in elected office
10-Nebraska-voting-rights,1.0,"The passage of the bill “means everything for the thousands of people who have not been full participants in society,” said TJ King, a Nebraska-based outreach specialist with the advocacy group Black and Pink who was unable to vote in the 2022 general election after coming off probation for drug and theft convictions three months earlier.
",Named Person,TJ King,"Outreach specialist, Black and Pink ", who was unable to vote in the 2022 general election after coming off probation for drug and theft convictions three months earlier
10-Nebraska-voting-rights,2.0,"King said the bill’s passage is the final layer in his ability to be civically engaged and “have a full voice and complete connection to the community.”

",Named Person,TJ King,"Outreach specialist, Black and Pink ", who was unable to vote in the 2022 general election after coming off probation for drug and theft convictions three months earlier
10-Nebraska-voting-rights,4.0,"“Studies have shown that if you allow people to engage in their community upon being released, the recidivism rate drops,” Wayne said during a public hearing for the bill last year. “We spend on average $42,000 a year on prisoners, of which we have around a 30 percent recidivism rate.
",Named Person,Justin Wayne,Omaha state Sen. ,"He prevailed by appealing to the practical sensibilities of law-and-order lawmakers.
"
10-Nebraska-voting-rights,5.0,"“One year, I brought in a little chart that says if we just cut it by 10 percent, we’re saving around $5 million a year.”",Named Person,Justin Wayne,Omaha state Sen. ,"He prevailed by appealing to the practical sensibilities of law-and-order lawmakers.
"
10-Nebraska-voting-rights,8.0,"As a result, voting rights have been restored to over 2 million people, said Nicole Porter, senior director of advocacy at The Sentencing Project.
",Named Person,Nicole Porter,"Senior director of advocacy, The Sentencing Project",
11-Nebraska-felons-crim-justice,1.0,"Voting, King said in an interview, gives “a little bit of your strength back and a little bit of your voice back. Being able to vote, being able to have a say in what happens in your society, in your state, is extremely important.”",Named Person,TJ King,"Outreach specialist,  Nebraska AIDS Project",King’s first chance to vote will be in the 2024 presidential election season -- unless a legislative proposal introduced in January that would remove the two-year requirement passes and becomes law.
11-Nebraska-felons-crim-justice,4.0,"“Restoring voting rights really is an issue where we’ve seen bipartisan momentum,” said Patrick Berry, counsel for the Democracy program at the Brennan Center.
",Named Person,Patrick Berry,"Counsel, Democracy program at the Brennan Center",
11-Nebraska-felons-crim-justice,6.0,"In Nebraska, nearly 18,000 people are unable to vote because of felony convictions, said the Sentencing Project’s director of advocacy, Nicole Porter. That includes 7,072 who fall under the two-year wait requirement and are currently unable to cast a ballot. The rest have not completed their full sentences.",Named Person,Nicole Porter,"Director of advocacy, Sentencing Project",
11-Nebraska-felons-crim-justice,7.0,"Steve Smith of Civic Nebraska, part of a large coalition of groups supporting the measure, said the wait creates a group of taxpayers who can’t choose their representatives.
",Named Person,Steve Smith,Civic Nebraska,part of a large coalition of groups supporting the measure
11-Nebraska-felons-crim-justice,8.0,"“You’re civically dead and you can’t vote for the people who are levying those taxes,” he said.
",Named Person,Steve Smith,Civic Nebraska,part of a large coalition of groups supporting the measure
11-Nebraska-felons-crim-justice,9.0,"At the time Nebraska was in step with other states. Now, while a few states require wait times for specific offenses or define completion of a sentence as including things such as fines and restitution, Nebraska is alone in requiring a general waiting period beyond imprisonment and release from parole or probation, said Margaret Love, co-founder and director of the Collateral Consequences Resource Center, which keeps a 50-state database on restoration of rights.",Named Person,Margaret Love,"Co-founder and director, Collateral Consequences Resource Center",which keeps a 50-state database on restoration of rights.
11-Nebraska-felons-crim-justice,10.0,"The bill’s author, Democratic state Sen. Justin Wayne, said he was going door to door in his first election in 2016 and was told by would-be constituents that they could not vote. Much of the reason was confusion over the law’s waiting period, he said.",Named Person,Justin Wayne,Democratic state Sen.,The bill’s author
11-Nebraska-felons-crim-justice,11.0,"Wayne, who represents parts of Omaha with strong minority populations, said reconnecting people to the voting process is integral to successful reentry.",Named Person,Justin Wayne,Democratic state Sen.,The bill’s author
